,ville_rechercher,ville_précise,hotel,url,note,description,latitutde,longitude,2022-11-23 03:00:00,2022-11-24 03:00:00,2022-11-25 03:00:00,2022-11-26 03:00:00,2022-11-27 03:00:00
0,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"8,0",Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Vert ! ,48.61470049,-1.50961697,9.82,7.68,8.48,7.74,10.02
1,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2","Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de nombreuses places de parking gratuites.",48.61424653,-1.51054502,9.82,7.68,8.48,7.74,10.02
2,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,1","L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. La connexion Wi-Fi est gratuite dans l'ensemble des locaux. Le restaurant sur place sert une cuisine française classique et offre une vue panoramique sur le Mont-Saint-Michel.",48.61688155,-1.51091784,9.82,7.68,8.48,7.74,10.02
3,Le Mont-Saint-Michel,Le Mont-Saint-Michel,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,0",Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Mère Poulard ! ,48.63508532,-1.51053965,9.82,7.68,8.48,7.74,10.02
4,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,3",Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Terrasses Poulard ! ,48.63534943,-1.51037872,9.82,7.68,8.48,7.74,10.02
5,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,8",Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Relais Saint Michel ! ,48.61758727,-1.51039615,9.82,7.68,8.48,7.74,10.02
6,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,0",Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Mouton Blanc ! ,48.63602298,-1.50989592,9.82,7.68,8.48,7.74,10.02
7,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,9",Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Gabriel ! ,48.61538141,-1.51070997,9.82,7.68,8.48,7.74,10.02
8,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,0","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial.",48.61293783,-1.51010513,9.82,7.68,8.48,7.74,10.02
9,Le Mont-Saint-Michel,Le Mont-Saint-Michel,La Vieille Auberge,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,1","La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. L’établissement propose une connexion Wi-Fi gratuite, un restaurant et une terrasse avec vue sur la baie du Mont-Saint-Michel.",48.636063,-1.511457,9.82,7.68,8.48,7.74,10.02
10,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,9",Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Relais Du Roy ! ,48.6162627,-1.51090577,9.82,7.68,8.48,7.74,10.02
11,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,9","L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. Elle allie le charme d'époque des poutres apparentes à des éléments de confort moderne comme une télévision et une connexion Wi-Fi gratuite. ",48.63568798,-1.50988251,9.82,7.68,8.48,7.74,10.02
12,Le Mont-Saint-Michel,Le Mont-Saint-Michel,Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,6","Situé au cœur du village médiéval du Mont-Saint-Michel, l'Hôtel La Croix Blanche possède une terrasse et un bar.",48.63573406,-1.50986105,9.82,7.68,8.48,7.74,10.02
13,Le Mont-Saint-Michel,Ardevon,Auberge de la Baie,https://www.booking.com/hotel/fr/auberge-de-la-baie.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQKIAgGoAgO4Av_M9JsGwAIB0gIkOTNlZTFlMzItZDY4Ny00MGQwLTk4ZjQtYTZhODRlMTYwMjlm2AIF4AIB&sid=5cce111367583c59ca067b7ab55c666c&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=d6088ac3580e0127&srepoch=1669146247&from=searchresults#hotelTmpl,"7,8",Vous pouvez bénéficier d'une réduction Genius dans l'établissement Auberge de la Baie ! ,48.61599318,-1.48825318,9.82,7.68,8.48,7.74,10.02
